Time,LDR_AC,Sound,Accel_X,Accel_Y,Accel_Z
21:00:00,2.0,40.0,0.0,0.0,1.0
21:00:01,2.0,40.0,0.0,0.0,1.0
21:00:02,2.0,40.0,0.0,0.0,1.0
21:00:03,2.0,40.0,0.0,0.0,1.0
21:00:04,2.0,40.0,0.0,0.0,1.0
21:00:05,2.0,40.0,0.0,0.0,1.0
21:00:06,2.0,40.0,0.0,0.0,1.0
21:00:07,2.0,40.0,0.0,0.0,1.0
21:00:08,2.0,40.0,0.001,0.001,1.0
21:00:09,2.0,40.0,0.001,0.001,1.0
21:00:10,2.0,40.0,0.001,0.0,1.0
21:00:11,2.0,40.1,0.001,0.0,1.0
21:00:12,2.0,40.1,0.001,0.0,1.0
21:00:13,2.0,40.1,0.001,0.0,1.0
21:00:14,2.0,40.1,0.001,0.0,1.0
21:00:15,2.0,40.1,0.001,0.0,1.0
21:00:16,2.0,40.1,0.001,-0.0,1.0
21:00:17,2.0,40.1,0.002,-0.0,1.001
21:00:18,2.0,40.1,0.002,-0.0,1.001
21:00:19,2.0,40.1,0.002,-0.001,1.001
21:00:20,2.0,40.1,0.002,-0.001,1.001
21:00:21,2.0,40.1,0.002,-0.001,1.001
21:00:22,2.0,40.1,0.002,-0.001,1.001
21:00:23,2.0,40.1,0.002,-0.001,1.001
21:00:24,2.0,40.1,0.001,-0.002,1.001
21:00:25,2.0,40.1,0.001,-0.002,1.001
21:00:26,2.0,40.1,0.001,-0.002,1.001
21:00:27,2.0,40.1,0.001,-0.002,1.001
21:00:28,2.0,40.1,0.001,-0.002,1.001
21:00:29,2.0,40.1,0.001,-0.003,1.001
21:00:30,2.0,40.1,0.0,-0.003,1.001
21:00:31,2.0,40.2,0.0,-0.003,1.001
21:00:32,2.0,40.2,-0.0,-0.003,1.001
21:00:33,2.0,40.2,-0.0,-0.003,1.001
21:00:34,2.0,40.2,-0.001,-0.003,1.001
21:00:35,2.0,40.2,-0.001,-0.003,1.001
21:00:36,2.0,40.2,-0.001,-0.003,1.001
21:00:37,2.0,40.2,-0.002,-0.003,1.001
21:00:38,2.0,40.2,-0.002,-0.003,1.001
21:00:39,2.0,40.2,-0.002,-0.003,1.001
21:00:40,2.0,40.2,-0.003,-0.002,1.001
21:00:41,2.0,40.2,-0.003,-0.002,1.001
21:00:42,2.0,40.2,-0.003,-0.002,1.001
21:00:43,2.0,40.2,-0.004,-0.002,1.001
21:00:44,2.0,40.2,-0.004,-0.001,1.001
21:00:45,2.0,40.2,-0.004,-0.001,1.001
21:00:46,2.0,40.2,-0.004,-0.0,1.001
21:00:47,2.0,40.2,-0.004,-0.0,1.001
21:00:48,2.0,40.2,-0.004,0.0,1.001
21:00:49,2.0,40.2,-0.004,0.001,1.001
21:00:50,2.0,40.2,-0.004,0.001,1.001
21:00:51,2.0,40.3,-0.004,0.002,1.002
21:00:52,2.0,40.3,-0.004,0.002,1.002
21:00:53,2.0,40.3,-0.004,0.003,1.002
21:00:54,2.0,40.3,-0.004,0.003,1.002
21:00:55,2.0,40.3,-0.003,0.004,1.002
21:00:56,2.0,40.3,-0.003,0.004,1.002
21:00:57,2.0,40.3,-0.003,0.004,1.002
21:00:58,2.0,40.3,-0.002,0.005,1.002
21:00:59,2.0,40.3,-0.002,0.005,1.002
21:01:00,2.0,40.3,-0.002,0.005,1.002
21:01:01,2.0,40.3,-0.001,0.005,1.002
21:01:02,2.0,40.3,-0.0,0.006,1.002
21:01:03,2.0,40.3,0.0,0.006,1.002
21:01:04,2.0,40.3,0.001,0.006,1.002
21:01:05,2.0,40.3,0.001,0.006,1.002
21:01:06,2.0,40.3,0.002,0.006,1.002
21:01:07,2.0,40.3,0.002,0.006,1.002
21:01:08,2.0,40.3,0.003,0.005,1.002
21:01:09,2.0,40.3,0.004,0.005,1.002
21:01:10,2.0,40.3,0.004,0.005,1.002
21:01:11,2.0,40.4,0.005,0.004,1.002
21:01:12,2.0,40.4,0.005,0.004,1.002
21:01:13,2.0,40.4,0.006,0.003,1.002
21:01:14,2.0,40.4,0.006,0.003,1.002
21:01:15,2.0,40.4,0.006,0.002,1.002
21:01:16,2.0,40.4,0.007,0.002,1.002
21:01:17,2.0,40.4,0.007,0.001,1.002
21:01:18,2.0,40.4,0.007,0.0,1.002
21:01:19,2.0,40.4,0.007,-0.0,1.002
21:01:20,2.0,40.4,0.007,-0.001,1.002
21:01:21,2.0,40.4,0.007,-0.002,1.002
21:01:22,2.0,40.4,0.007,-0.003,1.002
21:01:23,2.0,40.4,0.007,-0.003,1.002
21:01:24,2.0,40.4,0.006,-0.004,1.003
21:01:25,2.0,40.4,0.006,-0.005,1.003
21:01:26,2.0,40.4,0.006,-0.005,1.003
21:01:27,2.0,40.4,0.005,-0.006,1.003
21:01:28,2.0,40.4,0.005,-0.006,1.003
21:01:29,2.0,40.4,0.004,-0.007,1.003
21:01:30,2.0,40.4,0.003,-0.007,1.003
21:01:31,2.0,40.5,0.003,-0.008,1.003
21:01:32,2.0,40.5,0.002,-0.008,1.003
21:01:33,2.0,40.5,0.001,-0.008,1.003
21:01:34,2.0,40.5,0.0,-0.008,1.003
21:01:35,2.0,40.5,-0.001,-0.009,1.003
21:01:36,2.0,40.5,-0.002,-0.008,1.003
21:01:37,2.0,40.5,-0.002,-0.008,1.003
21:01:38,2.0,40.5,-0.003,-0.008,1.003
21:01:39,2.0,40.5,-0.004,-0.008,1.003
21:01:40,2.0,40.5,-0.005,-0.008,1.003
21:01:41,2.0,40.5,-0.006,-0.007,1.003
21:01:42,2.0,40.5,-0.006,-0.007,1.003
21:01:43,2.0,40.5,-0.007,-0.006,1.003
21:01:44,2.0,40.5,-0.008,-0.005,1.003
21:01:45,2.0,40.5,-0.008,-0.004,1.003
21:01:46,2.0,40.5,-0.009,-0.004,1.003
21:01:47,2.0,40.5,-0.009,-0.003,1.003
21:01:48,2.0,40.5,-0.01,-0.002,1.003
21:01:49,2.0,40.5,-0.01,-0.001,1.003
21:01:50,2.0,40.5,-0.01,0.0,1.003
21:01:51,2.0,40.6,-0.01,0.001,1.003
21:01:52,2.0,40.6,-0.01,0.002,1.003
21:01:53,2.0,40.6,-0.01,0.003,1.003
21:01:54,2.0,40.6,-0.009,0.004,1.003
21:01:55,2.0,40.6,-0.009,0.005,1.003
21:01:56,2.0,40.6,-0.009,0.006,1.003
21:01:57,2.0,40.6,-0.008,0.007,1.004
21:01:58,2.0,40.6,-0.007,0.008,1.004
21:01:59,2.0,40.6,-0.007,0.008,1.004
21:02:00,2.0,40.6,-0.006,0.009,1.004
21:02:01,2.0,40.6,-0.005,0.01,1.004
21:02:02,2.0,40.6,-0.004,0.01,1.004
21:02:03,2.0,40.6,-0.003,0.011,1.004
21:02:04,2.0,40.6,-0.002,0.011,1.004
21:02:05,2.0,40.6,-0.001,0.011,1.004
21:02:06,2.0,40.6,0.0,0.011,1.004
21:02:07,2.0,40.6,0.002,0.011,1.004
21:02:08,2.0,40.6,0.003,0.011,1.004
21:02:09,2.0,40.6,0.004,0.011,1.004
21:02:10,2.0,40.6,0.005,0.011,1.004
21:02:11,2.0,40.7,0.006,0.01,1.004
21:02:12,2.0,40.7,0.007,0.01,1.004
21:02:13,2.0,40.7,0.008,0.009,1.004
21:02:14,2.0,40.7,0.009,0.008,1.004
21:02:15,2.0,40.7,0.01,0.007,1.004
21:02:16,2.0,40.7,0.01,0.006,1.004
21:02:17,2.0,40.7,0.011,0.005,1.004
21:02:18,2.0,40.7,0.012,0.004,1.004
21:02:19,2.0,40.7,0.012,0.003,1.004
21:02:20,2.0,40.7,0.012,0.002,1.004
21:02:21,2.0,40.7,0.013,0.0,1.004
21:02:22,2.0,40.7,0.013,-0.001,1.004
21:02:23,2.0,40.7,0.013,-0.002,1.004
21:02:24,2.0,40.7,0.012,-0.003,1.004
21:02:25,2.0,40.7,0.012,-0.005,1.004
21:02:26,2.0,40.7,0.012,-0.006,1.004
21:02:27,2.0,40.7,0.011,-0.007,1.004
21:02:28,2.0,40.7,0.01,-0.008,1.004
21:02:29,2.0,40.7,0.01,-0.009,1.004
21:02:30,2.0,40.7,0.009,-0.01,1.004
21:02:31,2.0,40.8,0.008,-0.011,1.005
21:02:32,2.0,40.8,0.007,-0.012,1.005
21:02:33,2.0,40.8,0.005,-0.013,1.005
21:02:34,2.0,40.8,0.004,-0.013,1.005
21:02:35,2.0,40.8,0.003,-0.014,1.005
21:02:36,2.0,40.8,0.002,-0.014,1.005
21:02:37,2.0,40.8,0.0,-0.014,1.005
21:02:38,2.0,40.8,-0.001,-0.014,1.005
21:02:39,2.0,40.8,-0.003,-0.014,1.005
21:02:40,2.0,40.8,-0.004,-0.014,1.005
21:02:41,2.0,40.8,-0.006,-0.013,1.005
21:02:42,2.0,40.8,-0.007,-0.013,1.005
21:02:43,2.0,40.8,-0.008,-0.012,1.005
21:02:44,2.0,40.8,-0.009,-0.011,1.005
21:02:45,2.0,40.8,-0.011,-0.01,1.005
21:02:46,2.0,40.8,-0.012,-0.009,1.005
21:02:47,2.0,40.8,-0.013,-0.008,1.005
21:02:48,2.0,40.8,-0.013,-0.007,1.005
21:02:49,2.0,40.8,-0.014,-0.006,1.005
21:02:50,2.0,40.8,-0.015,-0.004,1.005
21:02:51,2.0,40.9,-0.015,-0.003,1.005
21:02:52,2.0,40.9,-0.015,-0.001,1.005
21:02:53,2.0,40.9,-0.015,0.0,1.005
21:02:54,2.0,40.9,-0.015,0.002,1.005
21:02:55,2.0,40.9,-0.015,0.003,1.005
21:02:56,2.0,40.9,-0.015,0.005,1.005
21:02:57,2.0,40.9,-0.014,0.006,1.005
21:02:58,2.0,40.9,-0.014,0.008,1.005
21:02:59,2.0,40.9,-0.013,0.009,1.005
21:03:00,2.0,40.9,-0.012,0.011,1.005
21:03:01,2.0,40.9,-0.011,0.012,1.005
21:03:02,2.0,40.9,-0.01,0.013,1.005
21:03:03,2.0,40.9,-0.009,0.014,1.005
21:03:04,2.0,40.9,-0.007,0.015,1.005
21:03:05,2.0,40.9,-0.006,0.016,1.006
21:03:06,2.0,40.9,-0.004,0.016,1.006
21:03:07,2.0,40.9,-0.002,0.017,1.006
21:03:08,2.0,40.9,-0.001,0.017,1.006
21:03:09,2.0,40.9,0.001,0.017,1.006
21:03:10,2.0,40.9,0.003,0.017,1.006
21:03:11,2.0,40.9,0.004,0.017,1.006
21:03:12,2.0,41.0,0.006,0.016,1.006
21:03:13,2.0,41.0,0.008,0.016,1.006
21:03:14,2.0,41.0,0.009,0.015,1.006
21:03:15,2.0,41.0,0.011,0.014,1.006
21:03:16,2.0,41.0,0.012,0.013,1.006
21:03:17,2.0,41.0,0.013,0.012,1.006
21:03:18,2.0,41.0,0.014,0.01,1.006
21:03:19,2.0,41.0,0.015,0.009,1.006
21:03:20,2.0,41.0,0.016,0.007,1.006
21:03:21,2.0,41.0,0.017,0.006,1.006
21:03:22,2.0,41.0,0.018,0.004,1.006
21:03:23,2.0,41.0,0.018,0.002,1.006
21:03:24,2.0,41.0,0.018,0.0,1.006
21:03:25,2.0,41.0,0.018,-0.001,1.006
21:03:26,2.0,41.0,0.018,-0.003,1.006
21:03:27,2.0,41.0,0.018,-0.005,1.006
21:03:28,2.0,41.0,0.017,-0.007,1.006
21:03:29,2.0,41.0,0.017,-0.009,1.006
21:03:30,2.0,41.0,0.016,-0.01,1.006
21:03:31,2.0,41.0,0.015,-0.012,1.006
21:03:32,2.0,41.1,0.013,-0.013,1.006
21:03:33,2.0,41.1,0.012,-0.015,1.006
21:03:34,2.0,41.1,0.011,-0.016,1.006
21:03:35,2.0,41.1,0.009,-0.017,1.006
21:03:36,2.0,41.1,0.007,-0.018,1.006
21:03:37,2.0,41.1,0.006,-0.019,1.006
21:03:38,2.0,41.1,0.004,-0.019,1.006
21:03:39,2.0,41.1,0.002,-0.019,1.007
21:03:40,2.0,41.1,-0.0,-0.02,1.007
21:03:41,2.0,41.1,-0.002,-0.02,1.007
21:03:42,2.0,41.1,-0.004,-0.019,1.007
21:03:43,2.0,41.1,-0.006,-0.019,1.007
21:03:44,2.0,41.1,-0.008,-0.018,1.007
21:03:45,2.0,41.1,-0.01,-0.018,1.007
21:03:46,2.0,41.1,-0.012,-0.017,1.007
21:03:47,2.0,41.1,-0.013,-0.015,1.007
21:03:48,2.0,41.1,-0.015,-0.014,1.007
21:03:49,2.0,41.1,-0.016,-0.013,1.007
21:03:50,2.0,41.1,-0.017,-0.011,1.007
21:03:51,2.0,41.1,-0.018,-0.009,1.007
21:03:52,2.0,41.1,-0.019,-0.007,1.007
21:03:53,2.0,41.2,-0.02,-0.005,1.007
21:03:54,2.0,41.2,-0.021,-0.003,1.007
21:03:55,2.0,41.2,-0.021,-0.001,1.007
21:03:56,2.0,41.2,-0.021,0.001,1.007
